sp,start_date,end_date,spLen,nsp,mutl,ss,cdays,tte
1,1/1/2014,1/31/2014,31,1,1,1,31,31
2,2/1/2014,2/28/2014,28,1,1,0,28,59
3,3/1/2014,3/31/2014,31,1,1,0,31,90
4,4/1/2014,4/30/2014,30,1,1,0,30,120
5,5/1/2014,5/31/2014,31,1,1,0,31,151
6,6/1/2014,6/30/2014,30,1,1,0,30,181
7,7/1/2014,7/31/2014,31,1,1,0,31,212
8,8/1/2014,8/31/2014,31,1,1,0,31,243
9,9/1/2014,9/30/2014,30,1,1,0,30,273
10,10/1/2014,10/31/2014,31,1,1,0,31,304
11,11/1/2014,11/30/2014,30,1,1,0,30,334
12,12/1/2014,12/31/2014,31,1,1,0,31,365
13,1/1/2015,1/31/2015,31,1,1,0,31,396
14,2/1/2015,2/28/2015,28,1,1,0,28,424
15,3/1/2015,3/31/2015,31,1,1,0,31,455
16,4/1/2015,4/30/2015,30,1,1,0,30,485
17,5/1/2015,5/31/2015,31,1,1,0,31,516
18,6/1/2015,6/30/2015,30,1,1,0,30,546
19,7/1/2015,7/31/2015,31,1,1,0,31,577
20,8/1/2015,8/31/2015,31,1,1,0,31,608
21,9/1/2015,9/30/2015,30,1,1,0,30,638
22,10/1/2015,10/31/2015,31,1,1,0,31,669
23,11/1/2015,11/30/2015,30,1,1,0,30,699
24,12/1/2015,12/31/2015,31,1,1,0,31,730
25,1/1/2016,1/31/2016,31,1,1,0,31,761
26,2/1/2016,2/29/2016,29,1,1,0,29,790
27,3/1/2016,3/31/2016,31,1,1,0,31,821
28,4/1/2016,4/30/2016,30,1,1,0,30,851
29,5/1/2016,5/31/2016,31,1,1,0,31,882
30,6/1/2016,6/30/2016,30,1,1,0,30,912
31,7/1/2016,7/31/2016,31,1,1,0,31,943
32,8/1/2016,8/31/2016,31,1,1,0,31,974
33,9/1/2016,9/30/2016,30,1,1,0,30,1004
34,10/1/2016,10/31/2016,31,1,1,0,31,1035
35,11/1/2016,11/30/2016,30,1,1,0,30,1065
36,12/1/2016,12/31/2016,31,1,1,0,31,1096
37,1/1/2017,1/31/2017,31,1,1,0,31,1127
38,2/1/2017,2/28/2017,28,1,1,0,28,1155
39,3/1/2017,3/31/2017,31,1,1,0,31,1186
40,4/1/2017,4/30/2017,30,1,1,0,30,1216
41,5/1/2017,5/31/2017,31,1,1,0,31,1247
42,6/1/2017,6/30/2017,30,1,1,0,30,1277
43,7/1/2017,7/31/2017,31,1,1,0,31,1308
44,8/1/2017,8/31/2017,31,1,1,0,31,1339
45,9/1/2017,9/30/2017,30,1,1,0,30,1369
46,10/1/2017,10/31/2017,31,1,1,0,31,1400
47,11/1/2017,11/30/2017,30,1,1,0,30,1430
48,12/1/2017,12/31/2017,31,1,1,0,31,1461
49,1/1/2018,1/31/2018,31,1,1,0,31,1492
50,2/1/2018,2/28/2018,28,1,1,0,28,1520
51,3/1/2018,3/31/2018,31,1,1,0,31,1551
52,4/1/2018,4/30/2018,30,1,1,0,30,1581
53,5/1/2018,5/31/2018,31,1,1,0,31,1612
54,6/1/2018,6/30/2018,30,1,1,0,30,1642
55,7/1/2018,7/31/2018,31,1,1,0,31,1673
56,8/1/2018,8/31/2018,31,1,1,0,31,1704
57,9/1/2018,9/30/2018,30,1,1,0,30,1734
58,10/1/2018,10/31/2018,31,1,1,0,31,1765
59,11/1/2018,11/30/2018,30,1,1,0,30,1795
60,12/1/2018,12/31/2018,31,1,1,0,31,1826
61,1/1/2019,1/31/2019,31,1,1,0,31,1857
62,2/1/2019,2/28/2019,28,1,1,0,28,1885
63,3/1/2019,3/31/2019,31,1,1,0,31,1916
64,4/1/2019,4/30/2019,30,1,1,0,30,1946
65,5/1/2019,5/31/2019,31,1,1,0,31,1977
66,6/1/2019,6/30/2019,30,1,1,0,30,2007
67,7/1/2019,7/31/2019,31,1,1,0,31,2038
68,8/1/2019,8/31/2019,31,1,1,0,31,2069
69,9/1/2019,9/30/2019,30,1,1,0,30,2099
70,10/1/2019,10/31/2019,31,1,1,0,31,2130
71,11/1/2019,11/30/2019,30,1,1,0,30,2160
72,12/1/2019,12/31/2019,31,1,1,0,31,2191
73,1/1/2020,1/31/2020,31,1,1,0,31,2222
74,2/1/2020,2/29/2020,29,1,1,0,29,2251
75,3/1/2020,3/31/2020,31,1,1,0,31,2282
76,4/1/2020,4/30/2020,30,1,1,0,30,2312
77,5/1/2020,5/31/2020,31,1,1,0,31,2343
78,6/1/2020,6/30/2020,30,1,1,0,30,2373
79,7/1/2020,7/31/2020,31,1,1,0,31,2404
80,8/1/2020,8/31/2020,31,1,1,0,31,2435
81,9/1/2020,9/30/2020,30,1,1,0,30,2465
82,10/1/2020,10/31/2020,31,1,1,0,31,2496
83,11/1/2020,11/30/2020,30,1,1,0,30,2526
84,12/1/2020,12/31/2020,31,1,1,0,31,2557
85,1/1/2021,1/31/2021,31,1,1,0,31,2588
86,2/1/2021,2/28/2021,28,1,1,0,28,2616
87,3/1/2021,3/31/2021,31,1,1,0,31,2647
88,4/1/2021,4/30/2021,30,1,1,0,30,2677
89,5/1/2021,5/31/2021,31,1,1,0,31,2708
90,6/1/2021,6/30/2021,30,1,1,0,30,2738
91,7/1/2021,7/31/2021,31,1,1,0,31,2769
92,8/1/2021,8/31/2021,31,1,1,0,31,2800
93,9/1/2021,9/30/2021,30,1,1,0,30,2830
94,10/1/2021,10/31/2021,31,1,1,0,31,2861
95,11/1/2021,11/30/2021,30,1,1,0,30,2891
96,12/1/2021,12/31/2021,31,1,1,0,31,2922
97,1/1/2022,1/31/2022,31,1,1,0,31,2953
98,2/1/2022,2/28/2022,28,1,1,0,28,2981
99,3/1/2022,3/31/2022,31,1,1,0,31,3012
100,4/1/2022,4/30/2022,30,1,1,0,30,3042
101,5/1/2022,5/31/2022,31,1,1,0,31,3073
102,6/1/2022,6/30/2022,30,1,1,0,30,3103
103,7/1/2022,7/31/2022,31,1,1,0,31,3134
104,8/1/2022,8/31/2022,31,1,1,0,31,3165
105,9/1/2022,9/30/2022,30,1,1,0,30,3195
106,10/1/2022,10/31/2022,31,1,1,0,31,3226
107,11/1/2022,11/30/2022,30,1,1,0,30,3256
108,12/1/2022,12/31/2022,31,1,1,0,31,3287
109,1/1/2023,1/31/2023,31,1,1,0,31,3318
110,2/1/2023,2/28/2023,28,1,1,0,28,3346
111,3/1/2023,3/31/2023,31,1,1,0,31,3377
112,4/1/2023,4/30/2023,30,1,1,0,30,3407
113,5/1/2023,5/31/2023,31,1,1,0,31,3438
114,6/1/2023,6/30/2023,30,1,1,0,30,3468
115,7/1/2023,7/31/2023,31,1,1,0,31,3499
